pkImportStagingId	LocationNameCity	ItemAsListed
27744	Barrel Proof (Nashville)	Matchbook Cocktail
27745	Barrel Proof (Nashville)	no chips
27746	Barrel Proof (Nashville)	Glenfiddich 14 1oz
27747	Barrel Proof (Nashville)	Bombay Sapphire 1oz
27748	Barrel Proof (Nashville)	Noahs Mill 1 oz
27749	Barrel Proof (Nashville)	Negroni $3 2oz
27750	Barrel Proof (Nashville)	Sour $3 2 oz
27751	Barrel Proof (Nashville)	Grand Marnier 1 oz
27752	Barrel Proof (Nashville)	Rieger's HH Cocktail
27753	Barrel Proof (Nashville)	No Fried Onion
27754	Barrel Proof (Nashville)	Ardbeg - Uigeadail 1 oz
27755	Barrel Proof (Nashville)	Martini $4 2 oz
27756	Barrel Proof (Nashville)	Bruichladdich Classic Ladie 1oz
27757	Barrel Proof (Nashville)	Cocktail Prep $4 2 oz
27758	Barrel Proof (Nashville)	Alambique Serrano
27759	Barrel Proof (Nashville)	Sour $3 2 oz
27760	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27761	Barrel Proof (Nashville)	Sour $3 2oz
27762	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27763	Barrel Proof (Nashville)	WILD TURKEY 101 BRBN SHOT
27764	Barrel Proof (Nashville)	Silverbelly - 4yr 2 oz
27765	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27766	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27767	Barrel Proof (Nashville)	Guinness 2oz
27768	Barrel Proof (Nashville)	Don Julio - Repo 2 oz
27769	Barrel Proof (Nashville)	Mars Iwai 45 1oz
27770	Barrel Proof (Nashville)	Puro Potro - Blanco
27771	Barrel Proof (Nashville)	Cinco Sentidos 1oz
27772	Barrel Proof (Nashville)	Event Fancy Jack
27773	Barrel Proof (Nashville)	Chattanooga Whiskey 91 2oz
27774	Barrel Proof (Nashville)	Noahs Mill 2 oz
27775	Barrel Proof (Nashville)	No cream cheese
27776	Barrel Proof (Nashville)	Aberlour - A'Bunadh Alba
27777	Barrel Proof (Nashville)	Old Fashioned $3 2 oz
27778	Barrel Proof (Nashville)	Marg 2 oz
27779	Barrel Proof (Nashville)	Michter's - Toasted 1 oz
27780	Barrel Proof (Nashville)	Fernet Vallet
27781	Barrel Proof (Nashville)	Cascahuin - Siete Veces Diez Reposado 1 oz
27782	Barrel Proof (Nashville)	Silas Shot 2 oz
27783	Barrel Proof (Nashville)	Old Fashioned $3 2 oz
27784	Barrel Proof (Nashville)	Stagg (Jr.) 1oz
27785	Barrel Proof (Nashville)	Nikka Miyagikyo 2oz
27786	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27787	Barrel Proof (Nashville)	*campo bravo (well)* 1oz
27788	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27789	Barrel Proof (Nashville)	Four Roses Single Barrel OESK 2 oz
27790	Barrel Proof (Nashville)	Salad-Chickpea
27791	Barrel Proof (Nashville)	Lions Tale
27792	Barrel Proof (Nashville)	Johnny Smoking Gun 1 oz
27793	Barrel Proof (Nashville)	Select Aperitivo
27794	Barrel Proof (Nashville)	Version Francaise - Armorik 1 oz
27795	Barrel Proof (Nashville)	Manhattan $3 2oz
27796	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27797	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27798	Barrel Proof (Nashville)	5 Cinco Sentidos - Arroqueno 1 oz
27799	Barrel Proof (Nashville)	Glenmorangie 14 year Quinta Rubin 1 oz
27800	Barrel Proof (Nashville)	Nelson Bros Rye
27801	Barrel Proof (Nashville)	Alaska
27802	Barrel Proof (Nashville)	Chattanooga - Founders
27803	Barrel Proof (Nashville)	Southern Grist - MOSA
27804	Barrel Proof (Nashville)	Four Roses Small Batch Select - Barrel Strength 2 oz
27805	Barrel Proof (Nashville)	Add Cheese
27806	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27807	Barrel Proof (Nashville)	Sir Davis 2 oz
27808	Barrel Proof (Nashville)	Extra pickled onion
27809	Barrel Proof (Nashville)	Frank August
27810	Barrel Proof (Nashville)	Old Fashioned $4 2oz
27811	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27812	Barrel Proof (Nashville)	W. L. Weller Full Proof 2oz
27813	Barrel Proof (Nashville)	Rum Pum Pum Pum
27814	Barrel Proof (Nashville)	Glendronach Portwood Finish
27815	Barrel Proof (Nashville)	La Pulga - Repo 1 oz
27816	Barrel Proof (Nashville)	Terrativo - Corsair Cocktail
27817	Barrel Proof (Nashville)	Shadow - Reposado 1 oz
27818	Barrel Proof (Nashville)	Hendricks - Oasium 1 oz
27819	Barrel Proof (Nashville)	St Paddy's Cocktail
27820	Barrel Proof (Nashville)	Kraken Black 1 oz
27821	Barrel Proof (Nashville)	Jack Daniels Single Barrel  BARREL PROOF 1oz
27822	Barrel Proof (Nashville)	Well Mixed 2oz
27823	Barrel Proof (Nashville)	Sam Adams - Winter Wheat
27824	Barrel Proof (Nashville)	Bernheim Barrel Proof
27825	Barrel Proof (Nashville)	Wilderness Trail Bourbon Wheated 1 oz
27826	Barrel Proof (Nashville)	Old Forester 1920 1oz
27827	Barrel Proof (Nashville)	Sour $3 2oz
